roi	label	name	size	symmetry	laterality	x	y	z	neighbour	parent	overlap
188	r188@197	188@MIST_197	455	0.6	-0.185	4.58	5.28	67.38	[13, 20, 64, 78, 80, 95, 103, 106, 115, 120, 137, 175, 182, 190]		0
189	r189@197	189@MIST_197	420	0.5	-0.248	1.9	-79.54	-48.01	[12, 27, 40, 47, 53, 55, 56, 61, 79, 144, 157, 160]		0
190	r190@197	190@MIST_197	330	0.27	-0.024	0.08	-9.83	56.59	[13, 20, 31, 37, 59, 78, 80, 86, 98, 101, 103, 105, 106, 137, 175, 182, 188]		0
191	r191@197	191@MIST_197	596	0.89	-0.005	-0.18	-47.27	-21.74	[3, 14, 24, 27, 42, 46, 49, 82, 84, 85, 93, 118, 131, 143, 148, 184]		0
192	r192@197	192@MIST_197	763	0.87	0.0559999999999999	-2.96	10.1	-21.65	[23, 28, 45, 88, 91, 92, 99, 104, 109, 126, 128, 135, 145, 156, 166, 170, 173, 179]		0
193	r193@197	193@MIST_197	441	0.42	-0.088	6.88	-21.57	29.44	[29, 35, 36, 38, 39, 59, 90, 101, 159, 162, 163, 166, 174, 177, 180, 196]		0
194	r194@197	194@MIST_197	365	0.0	1.0	-59.9	-39.24	-1.88	[65, 83, 92, 117, 136, 167, 173, 179, 196]		0
195	r195@197	195@MIST_197	409	0.78	-0.071	0.64	58.75	-10.27	[32, 63, 94, 112, 116, 130, 135, 141, 151, 156, 158, 183]		0
196	r196@197	196@MIST_197	512	0.0	1.0	-56.31	-32.81	13.44	[29, 36, 38, 39, 83, 91, 173, 179, 180, 193, 194]		0
197	r197@197	197@MIST_197	420	0.49	0.019	1.24	22.8	2.85	[5, 10, 23, 41, 54, 72, 87, 99, 104, 110, 135, 142, 156, 162, 166, 170, 171]		0
