subject_id,partially_nan_rois
sub-pixar064,168
sub-pixar064,168
sub-pixar064,168
sub-pixar064,168
sub-pixar064,168
sub-pixar064,168
sub-pixar013,168
sub-pixar013,168
sub-pixar013,168
sub-pixar013,168
sub-pixar013,168
sub-pixar013,168
sub-pixar019,168
sub-pixar019,168
sub-pixar019,168
sub-pixar019,168
sub-pixar019,168
sub-pixar019,168
sub-pixar114,168
sub-pixar114,168
sub-pixar114,168
sub-pixar114,168
sub-pixar114,168
sub-pixar114,168
sub-pixar080,168
sub-pixar080,168
sub-pixar080,168
sub-pixar080,168
sub-pixar080,168
sub-pixar080,168
sub-pixar023,168
sub-pixar023,168
sub-pixar023,168
sub-pixar023,168
sub-pixar023,168
sub-pixar023,168
sub-pixar054,168
sub-pixar054,168
sub-pixar054,168
sub-pixar054,168
sub-pixar054,168
sub-pixar054,168
sub-pixar029,168
sub-pixar029,168
sub-pixar029,168
sub-pixar029,168
sub-pixar029,168
sub-pixar029,168
sub-pixar153,168
sub-pixar153,168
sub-pixar153,168
sub-pixar153,168
sub-pixar153,168
sub-pixar153,168
sub-pixar124,168
sub-pixar124,168
sub-pixar124,168
sub-pixar124,168
sub-pixar124,168
sub-pixar124,168
sub-pixar066,168
sub-pixar066,168
sub-pixar066,168
sub-pixar066,168
sub-pixar066,168
sub-pixar066,168
sub-pixar011,168
sub-pixar011,168
sub-pixar011,168
sub-pixar011,168
sub-pixar011,168
sub-pixar011,168
sub-pixar088,168
sub-pixar088,168
sub-pixar088,168
sub-pixar088,168
sub-pixar088,168
sub-pixar088,168
sub-pixar116,168
sub-pixar116,168
sub-pixar116,168
sub-pixar116,168
sub-pixar116,168
sub-pixar116,168
sub-pixar082,168
sub-pixar082,168
sub-pixar082,168
sub-pixar082,168
sub-pixar082,168
sub-pixar082,168
sub-pixar140,168
sub-pixar140,168
sub-pixar140,168
sub-pixar140,168
sub-pixar140,168
sub-pixar140,168
sub-pixar137,168
sub-pixar137,168
sub-pixar137,168
sub-pixar137,168
sub-pixar137,168
sub-pixar137,168
sub-pixar030,168
sub-pixar030,168
sub-pixar030,168
sub-pixar030,168
sub-pixar030,168
sub-pixar030,168
sub-pixar047,168
sub-pixar047,168
sub-pixar047,168
sub-pixar047,168
sub-pixar047,168
sub-pixar047,168
sub-pixar105,168
sub-pixar105,168
sub-pixar105,168
sub-pixar105,168
sub-pixar105,168
sub-pixar105,168
sub-pixar091,168
sub-pixar091,168
sub-pixar091,168
sub-pixar091,168
sub-pixar091,168
sub-pixar091,168
sub-pixar008,168
sub-pixar008,168
sub-pixar008,168
sub-pixar008,168
sub-pixar008,168
sub-pixar008,168
sub-pixar075,168
sub-pixar075,168
sub-pixar075,168
sub-pixar075,168
sub-pixar075,168
sub-pixar075,168
sub-pixar002,168
sub-pixar002,168
sub-pixar002,168
sub-pixar002,168
sub-pixar002,168
sub-pixar002,168
sub-pixar078,168
sub-pixar078,168
sub-pixar078,168
sub-pixar078,168
sub-pixar078,168
sub-pixar078,168
sub-pixar096,168
sub-pixar096,168
sub-pixar096,168
sub-pixar096,168
sub-pixar096,168
sub-pixar096,168
sub-pixar102,168
sub-pixar102,168
sub-pixar102,168
sub-pixar102,168
sub-pixar102,168
sub-pixar102,168
sub-pixar005,168
sub-pixar005,168
sub-pixar005,168
sub-pixar005,168
sub-pixar005,168
sub-pixar005,168
sub-pixar072,168
sub-pixar072,168
sub-pixar072,168
sub-pixar072,168
sub-pixar072,168
sub-pixar072,168
sub-pixar108,168
sub-pixar108,168
sub-pixar108,168
sub-pixar108,168
sub-pixar108,168
sub-pixar108,168
sub-pixar130,168
sub-pixar130,168
sub-pixar130,168
sub-pixar130,168
sub-pixar130,168
sub-pixar130,168
sub-pixar147,168
sub-pixar147,168
sub-pixar147,168
sub-pixar147,168
sub-pixar147,168
sub-pixar147,168
sub-pixar040,168
sub-pixar040,168
sub-pixar040,168
sub-pixar040,168
sub-pixar040,168
sub-pixar040,168
sub-pixar037,168
sub-pixar037,168
sub-pixar037,168
sub-pixar037,168
sub-pixar037,168
sub-pixar037,168
sub-pixar016,168
sub-pixar016,168
