subject_id,fully_nan_rois
sub-pixar153,0
sub-pixar153,0
sub-pixar153,0
sub-pixar153,0
sub-pixar153,0
sub-pixar153,0
sub-pixar124,0
sub-pixar124,0
sub-pixar124,0
sub-pixar124,0
sub-pixar124,0
sub-pixar124,0
sub-pixar066,0
sub-pixar066,0
sub-pixar066,0
sub-pixar066,0
sub-pixar066,0
sub-pixar066,0
sub-pixar011,0
sub-pixar011,0
sub-pixar011,0
sub-pixar011,0
sub-pixar011,0
sub-pixar011,0
sub-pixar088,0
sub-pixar088,0
sub-pixar088,0
sub-pixar088,0
sub-pixar088,0
sub-pixar088,0
sub-pixar116,0
sub-pixar116,0
sub-pixar116,0
sub-pixar116,0
sub-pixar116,0
sub-pixar116,0
sub-pixar082,0
sub-pixar082,0
sub-pixar082,0
sub-pixar082,0
sub-pixar082,0
sub-pixar082,0
sub-pixar140,0
sub-pixar140,0
sub-pixar140,0
sub-pixar140,0
sub-pixar140,0
sub-pixar140,0
sub-pixar137,0
sub-pixar137,0
sub-pixar137,0
sub-pixar137,0
sub-pixar137,0
sub-pixar137,0
sub-pixar030,0
sub-pixar030,0
sub-pixar030,0
sub-pixar030,0
sub-pixar030,0
sub-pixar030,0
sub-pixar047,0
sub-pixar047,0
sub-pixar047,0
sub-pixar047,0
sub-pixar047,0
sub-pixar047,0
sub-pixar105,0
sub-pixar105,0
sub-pixar105,0
sub-pixar105,0
sub-pixar105,0
sub-pixar105,0
sub-pixar091,0
sub-pixar091,0
sub-pixar091,0
sub-pixar091,0
sub-pixar091,0
sub-pixar091,0
sub-pixar008,0
sub-pixar008,0
sub-pixar008,0
sub-pixar008,0
sub-pixar008,0
sub-pixar008,0
sub-pixar075,0
sub-pixar075,0
sub-pixar075,0
sub-pixar075,0
sub-pixar075,0
sub-pixar075,0
sub-pixar002,0
sub-pixar002,0
sub-pixar002,0
sub-pixar002,0
sub-pixar002,0
sub-pixar002,0
sub-pixar078,0
sub-pixar078,0
sub-pixar078,0
sub-pixar078,0
sub-pixar078,0
sub-pixar078,0
sub-pixar096,0
sub-pixar096,0
sub-pixar096,0
sub-pixar096,0
sub-pixar096,0
sub-pixar096,0
sub-pixar102,0
sub-pixar102,0
sub-pixar102,0
sub-pixar102,0
sub-pixar102,0
sub-pixar102,0
sub-pixar005,0
sub-pixar005,0
sub-pixar005,0
sub-pixar005,0
sub-pixar005,0
sub-pixar005,0
sub-pixar072,0
sub-pixar072,0
sub-pixar072,0
sub-pixar072,0
sub-pixar072,0
sub-pixar072,0
sub-pixar108,0
sub-pixar108,0
sub-pixar108,0
sub-pixar108,0
sub-pixar108,0
sub-pixar108,0
sub-pixar130,0
sub-pixar130,0
sub-pixar130,0
sub-pixar130,0
sub-pixar130,0
sub-pixar130,0
sub-pixar147,0
sub-pixar147,0
sub-pixar147,0
sub-pixar147,0
sub-pixar147,0
sub-pixar147,0
sub-pixar040,0
sub-pixar040,0
sub-pixar040,0
sub-pixar040,0
sub-pixar040,0
sub-pixar040,0
sub-pixar037,0
sub-pixar037,0
sub-pixar037,0
sub-pixar037,0
sub-pixar037,0
sub-pixar037,0
sub-pixar016,0
sub-pixar016,0
sub-pixar016,0
sub-pixar016,0
sub-pixar016,0
sub-pixar016,0
sub-pixar061,0
sub-pixar061,0
sub-pixar061,0
sub-pixar061,0
sub-pixar061,0
sub-pixar061,0
sub-pixar085,0
sub-pixar085,0
sub-pixar085,0
sub-pixar085,0
sub-pixar085,0
sub-pixar085,0
sub-pixar111,0
sub-pixar111,0
sub-pixar111,0
sub-pixar111,0
sub-pixar111,0
sub-pixar111,0
sub-pixar129,0
sub-pixar129,0
sub-pixar129,0
sub-pixar129,0
sub-pixar129,0
sub-pixar129,0
sub-pixar053,0
sub-pixar053,0
sub-pixar053,0
sub-pixar053,0
sub-pixar053,0
sub-pixar053,0
sub-pixar024,0
sub-pixar024,0
sub-pixar024,0
sub-pixar024,0
sub-pixar024,0
sub-pixar024,0
sub-pixar123,0
sub-pixar123,0
sub-pixar123,0
sub-pixar123,0
sub-pixar123,0
sub-pixar123,0
sub-pixar154,0
sub-pixar154,0
sub-pixar154,0
sub-pixar154,0
sub-pixar154,0
sub-pixar154,0
sub-pixar059,0
sub-pixar059,0
