	Region	Difumo_Component	Difumo_names	Yeo_networks7	Yeo_networks17	GM	WM	CSF	x	y	z
97	98	55	Lingual gyrus	VisCent	VisCent	0.3403241511288557	0.0893557171338943	0.0287542593602132	19.706374543204987	-68.31926397015854	-9.724054230343384
98	99	56	Superior occipital sulcus	DorsAttnB	DorsAttnA	0.2473057485846765	0.1359336038362375	0.037816276011118	-28.233477850309598	-77.15299796344806	31.05368020338541
99	100	56	Superior occipital sulcus	DorsAttnB	DorsAttnA	0.2542419469133912	0.1711023464023716	0.0377693895536069	32.47751164774829	-73.66061718424103	33.78868132931227
100	101	57	Superior parietal lobule	DorsAttnB	DorsAttnA	0.166435632518075	0.0338746664487347	0.0629005959283394	-19.724469239137164	-75.11157154370215	58.198464818611114
101	102	57	Superior parietal lobule	DorsAttnB	DorsAttnA	0.23268156420559	0.0467973297667693	0.0859595424994335	32.86419420944031	-62.77491617061712	61.21044496778856
102	103	58	Middle frontal gyrus anterior	SalVentAttnA	SalVentAttnB	0.257593137315498	0.0942102959952276	0.0277561347589333	-31.530024935228056	43.947199729830686	28.980760952068508
103	104	58	Middle frontal gyrus anterior	SalVentAttnA	SalVentAttnB	0.2997321038893363	0.1038719890505238	0.0351596298566833	31.768259177147527	48.36214570734944	25.873920279638327
104	105	59	Angular gyrus inferior	DefaultB	DefaultA	0.4424504623914047	0.1269111188132636	0.0611526587249595	-47.89248942200818	-65.68443000879016	32.055901691227774
105	106	59	Angular gyrus inferior	DefaultB	DefaultA	0.0981975849763406	0.0198368465825578	0.012441393376329	49.99504137132445	-63.418440565498614	28.870356730394107
106	107	60	Cuneus	VisCent	VisPeri	0.533677192770568	0.2356500118718043	0.0895683257546784	1.9377971750032401	-80.17590600302552	15.493030839897756
107	108	61	Middle temporal gyrus	DefaultB	DefaultB	0.3579436861577981	0.0785663714258985	0.0345869708317019	-60.50765073243011	-36.981862819016925	-0.9161920510245807
108	109	61	Middle temporal gyrus	DefaultB	DefaultB	0.1992193112602251	0.034371522900547	0.0438591644331228	-50.80748269398269	24.177294445790324	-5.219013556718977
109	110	62	Superior frontal gyrus	DefaultB	DefaultB	0.0919500469774756	0.017269983435539	0.0190196211404666	-46.61336323850018	13.81548970672938	49.712375505057494
110	111	62	Superior frontal gyrus	DefaultB	DefaultB	0.4801499448142454	0.0411657598709445	0.1719755550099829	-0.5616511747075208	39.63336901973133	42.35952606085971
111	112	63	Central sulcus	SomMotA	SomMotB	0.2881993579781808	0.1642736936954424	0.0572028043917633	-49.08478043543805	-14.932686176801184	44.153955573570244
112	113	63	Central sulcus	SomMotA	SomMotB	0.2272809718355776	0.1104265920677657	0.0394446346516271	50.423258850888686	-9.999805913641126	44.048107595352576
113	114	64	Caudate	No network found	No network found	0.266290132342012	0.1208225642614576	0.0113369696657751	-11.707544931473734	11.532922475561378	2.9745384301790523
